english,hindi,polarity
threats,खतरों से बचाएं,negative
tired,थक गया,negative
tormented,उन्हें उत्पीड़ित किया,negative
torrent,टोरेंट,negative
trap,जाल,negative
trapped,फंस,negative
trash,कचरा,negative
trouble,मुसीबत,negative
tumble,मशीन में,negative
tumbled,लो सेंटिंग पर मशीन,negative
twist,मोड़,negative
twisted,ट्विस्टेड,negative
ugh,ऊ,negative
ugliest,बदसूरत,negative
ugly,बदसूरत,negative
ultimatum,अल्टीमेटम अनसुना किया,negative
unable,में अक्षम,negative
unbelievable,अविश्वसनीय,negative
undefined,अपरिभाषित,negative
underestimate,कम मत आंको,negative
undone,पूर्ववत,negative
unethical,के बारे में सोचना अनैतिक,negative
unhappy,नाखुश होते हैं,negative
unleash,से मुक्ति देना,negative
unlicensed,लाइसेंसरहित,negative
unlikely,संभावना नहीं,negative
unnecessary,अनावश्यक,negative
unnoticed,छुप कर,negative
unorthodox,अनआर्थोडॉक्स,negative
unwanted,गलती से अवांछित,negative
uprising,उठ खड़े हुए हैं,negative
uproar,मचा हड़कंप,negative
upset,परेशान,negative
urgent,जरूरी,negative
useless,आश्चर्यजनक रूप से किसी काम,negative
vibration,स्पंदन,negative
vice,वाइस,negative
violate,का उल्लंघन करते हैं,negative
violent,हिंसा करनेवाला ।,negative
viper,वाइपर,negative
virus,वायरस के कारण कौनसी बिमारी,negative
waste,अपशिष्ट,negative
wasting,बर्बाद करना,negative
weaknesses,कमजोरियां,negative
wedge,वेज,negative
weird,अजीब,negative
whimper,कारण,negative
wild,जंगली,negative
worries,चिंता करता है,negative
worrying,चिंता कर रहा,negative
worse,बदतर,negative
worst,सबसे खराब,negative
wounds,घाव भर देता है,negative
wrong,गलत,negative
wrongly,गलत तरीके से,negative
zap,ज़ैप,negative
zombie,ज़ोंबी,negative
